/PREP7
N, 140, 10.658, 185.824, 0.000
N, 141, 12.789, 187.055, 0.000
N, 142, 11.368, 187.055, 0.000
N, 143, 13.500, 188.285, 0.000
N, 144, 12.789, 189.516, 0.000
N, 145, 14.921, 190.746, 0.000
N, 146, 13.500, 190.746, 0.000
N, 147, 15.631, 191.977, 0.000
N, 148, 14.921, 193.208, 0.000
N, 149, 17.052, 194.438, 0.000
N, 150, 15.631, 194.438, 0.000
N, 151, 17.763, 195.669, 0.000
N, 152, 17.052, 196.900, 0.000
N, 153, 19.184, 198.130, 0.000
N, 154, 17.763, 198.130, 0.000
N, 155, 19.894, 199.361, 0.000
N, 156, 0.000, 159.981, 0.000
N, 157, 0.711, 161.212, 0.000
N, 158, 0.000, 162.442, 0.000
N, 159, 2.131, 163.673, 0.000
N, 160, 0.711, 163.673, 0.000
N, 161, 2.842, 164.903, 0.000
N, 162, 2.131, 166.134, 0.000
N, 163, 4.263, 167.365, 0.000
N, 164, 2.842, 167.365, 0.000
N, 165, 4.974, 168.595, 0.000
N, 166, 4.263, 169.826, 0.000
N, 167, 6.394, 171.057, 0.000
N, 168, 4.974, 171.057, 0.000
N, 169, 7.105, 172.287, 0.000
N, 170, 6.395, 173.518, 0.000
N, 171, 8.526, 174.748, 0.000
N, 172, 7.105, 174.748, 0.000
N, 173, 9.237, 175.979, 0.000
N, 174, 8.526, 177.210, 0.000
N, 175, 10.658, 178.440, 0.000
N, 176, 9.237, 178.440, 0.000
N, 177, 11.368, 179.671, 0.000
N, 178, 10.658, 180.901, 0.000
N, 179, 12.789, 182.132, 0.000
N, 180, 11.368, 182.132, 0.000
N, 181, 13.500, 183.363, 0.000
N, 182, 12.789, 184.593, 0.000
N, 183, 14.921, 185.824, 0.000
N, 184, 13.500, 185.824, 0.000
N, 185, 15.631, 187.055, 0.000
N, 186, 14.921, 188.285, 0.000
N, 187, 17.052, 189.516, 0.000
N, 188, 15.631, 189.516, 0.000
N, 189, 17.763, 190.746, 0.000
N, 190, 17.052, 191.977, 0.000
N, 191, 19.184, 193.208, 0.000
N, 192, 17.763, 193.208, 0.000
N, 193, 19.894, 194.438, 0.000
N, 194, 19.184, 195.669, 0.000
N, 195, 21.315, 196.900, 0.000
N, 196, 19.894, 196.900, 0.000
N, 197, 22.026, 198.130, 0.000
N, 198, 21.315, 199.361, 0.000
N, 199, 0.000, 155.058, 0.000
N, 200, 0.711, 156.289, 0.000
N, 201, 0.000, 157.520, 0.000
N, 202, 2.132, 158.750, 0.000
N, 203, 0.711, 158.750, 0.000
N, 204, 2.842, 159.981, 0.000
N, 205, 2.132, 161.212, 0.000
N, 206, 4.263, 162.442, 0.000
N, 207, 2.842, 162.442, 0.000
N, 208, 4.974, 163.673, 0.000
N, 209, 4.263, 164.903, 0.000
N, 210, 6.395, 166.134, 0.000
N, 211, 4.974, 166.134, 0.000
N, 212, 7.105, 167.365, 0.000
N, 213, 6.395, 168.595, 0.000
N, 214, 8.526, 169.826, 0.000
N, 215, 7.105, 169.826, 0.000
N, 216, 9.237, 171.057, 0.000
N, 217, 8.526, 172.287, 0.000
N, 218, 10.658, 173.518, 0.000
N, 219, 9.237, 173.518, 0.000
