/PREP7
N,2,0.711,397.491,0.0
N,3,0.0,398.722,0.0
N,4,2.132,399.952,0.0
N,5,0.711,399.952,0.0
N,6,0.0,391.338,0.0
N,7,0.711,392.568,0.0
N,8,0.0,393.799,0.0
N,9,2.132,395.03,0.0
N,10,0.711,395.03,0.0
N,11,2.842,396.26,0.0
N,12,2.132,397.491,0.0
N,13,4.263,398.722,0.0
N,14,2.842,398.722,0.0
N,15,4.974,399.952,0.0
N,16,0.0,386.415,0.0
N,17,0.71,387.646,0.0
N,18,0.0,388.877,0.0
N,19,2.132,390.107,0.0
N,20,0.711,390.107,0.0
N,21,2.842,391.338,0.0
N,22,2.132,392.569,0.0
N,24,2.842,393.799,0.0
N,25,4.974,395.03,0.0
N,26,4.263,396.26,0.0
N,27,6.395,397.491,0.0
N,28,4.974,397.491,0.0
N,29,7.105,398.722,0.0
N,30,6.395,399.952,0.0
N,31,0.0,381.493,0.0
N,32,0.71,382.724,0.0
N,33,0.0,383.954,0.0
N,34,2.132,385.185,0.0
N,35,0.71,385.185,0.0
N,36,2.842,386.415,0.0
N,37,2.132,387.646,0.0
N,38,4.263,388.877,0.0
N,39,2.842,388.877,0.0
N,40,4.973,390.107,0.0
N,41,4.263,391.338,0.0
N,42,6.395,392.569,0.0
N,43,4.973,392.569,0.0
N,44,7.105,393.799,0.0
N,45,6.395,395.03,0.0
N,46,8.526,396.26,0.0
N,47,7.105,396.26,0.0
N,49,8.526,398.722,0.0
N,50,10.658,399.952,0.0
N,51,9.237,399.952,0.0
N,52,0.0,376.57,0.0
N,53,0.711,377.801,0.0
N,54,0.0,379.032,0.0
N,55,2.132,380.262,0.0
N,56,0.711,380.262,0.0
N,57,2.842,381.493,0.0
N,58,2.132,382.724,0.0
N,59,4.263,383.954,0.0
N,60,2.842,383.954,0.0
N,62,4.263,386.415,0.0
N,63,6.395,387.646,0.0
N,64,4.974,387.646,0.0
N,65,7.105,388.877,0.0
N,66,6.395,390.107,0.0
N,68,7.105,391.338,0.0
N,69,9.237,392.569,0.0
N,70,8.526,393.799,0.0
N,71,10.658,395.03,0.0
N,72,9.237,395.03,0.0
N,73,11.368,396.26,0.0
N,74,10.658,397.491,0.0
N,75,12.789,398.722,0.0
N,76,11.368,398.722,0.0
N,77,13.5,399.952,0.0
N,78,0.0,371.648,0.0
N,79,0.71,372.879,0.0
N,80,0.0,374.109,0.0
N,81,2.132,375.34,0.0
N,82,0.71,375.34,0.0
N,84,2.132,377.801,0.0
N,85,4.263,379.032,0.0
N,86,2.842,379.032,0.0
N,87,4.973,380.262,0.0
N,88,4.263,381.493,0.0
N,89,6.395,382.724,0.0
N,90,4.973,382.724,0.0
N,91,7.105,383.954,0.0
N,92,6.395,385.185,0.0
N,93,8.526,386.415,0.0
N,94,7.105,386.415,0.0
N,96,8.526,388.877,0.0
N,97,10.658,390.107,0.0
N,98,9.236,390.107,0.0
N,99,11.368,391.338,0.0
N,100,10.658,392.569,0.0
N,101,12.789,393.799,0.0
N,102,11.368,393.799,0.0
