/PREP7
N, 1, 0.000, 0.000, 0.000
N, 2, 1.231, 2.132, 0.000
N, 3, 0.000, 1.421, 0.000
N, 4, 1.231, 3.553, 0.000
N, 5, 0.000, 4.263, 0.000
N, 6, 1.231, 6.395, 0.000
N, 7, 0.000, 5.684, 0.000
N, 8, 1.231, 7.816, 0.000
N, 9, 0.000, 8.526, 0.000
N, 10, 1.231, 10.658, 0.000
N, 11, 0.000, 9.947, 0.000
N, 12, 1.231, 12.079, 0.000
N, 13, 0.000, 12.789, 0.000
N, 14, 1.231, 14.921, 0.000
N, 15, 0.000, 14.210, 0.000
N, 16, 1.231, 16.342, 0.000
N, 17, 0.000, 17.052, 0.000
N, 18, 1.231, 19.184, 0.000
N, 19, 0.000, 18.473, 0.000
N, 20, 1.231, 20.605, 0.000
N, 21, 0.000, 21.315, 0.000
N, 22, 1.231, 23.447, 0.000
N, 23, 0.000, 22.736, 0.000
N, 24, 1.231, 24.868, 0.000
N, 25, 0.000, 25.578, 0.000
N, 26, 1.231, 27.710, 0.000
N, 27, 0.000, 26.999, 0.000
N, 28, 1.231, 29.131, 0.000
N, 29, 0.000, 29.841, 0.000
N, 30, 1.231, 31.973, 0.000
N, 31, 0.000, 31.262, 0.000
N, 32, 1.231, 33.394, 0.000
N, 33, 0.000, 34.104, 0.000
N, 34, 1.231, 36.236, 0.000
N, 35, 0.000, 35.525, 0.000
N, 36, 1.231, 37.657, 0.000
N, 37, 0.000, 38.367, 0.000
N, 38, 1.231, 40.499, 0.000
N, 39, 0.000, 39.788, 0.000
N, 40, 1.231, 41.920, 0.000
N, 41, 0.000, 42.630, 0.000
N, 42, 1.231, 44.762, 0.000
N, 43, 0.000, 44.051, 0.000
N, 44, 1.231, 46.183, 0.000
N, 45, 0.000, 46.893, 0.000
N, 46, 1.231, 49.025, 0.000
N, 47, 0.000, 48.314, 0.000
N, 48, 1.231, 50.446, 0.000
N, 49, 0.000, 51.156, 0.000
N, 50, 1.231, 53.288, 0.000
N, 51, 0.000, 52.577, 0.000
N, 52, 1.231, 54.709, 0.000
N, 53, 0.000, 55.419, 0.000
N, 54, 1.231, 57.551, 0.000
N, 55, 0.000, 56.840, 0.000
N, 56, 1.231, 58.972, 0.000
N, 57, 0.000, 59.682, 0.000
N, 58, 1.231, 61.814, 0.000
N, 59, 0.000, 61.103, 0.000
N, 60, 1.231, 63.235, 0.000
N, 61, 0.000, 63.945, 0.000
N, 62, 1.231, 66.077, 0.000
N, 63, 0.000, 65.366, 0.000
N, 64, 1.231, 67.498, 0.000
N, 65, 0.000, 68.208, 0.000
N, 66, 1.231, 70.340, 0.000
N, 67, 0.000, 69.629, 0.000
N, 68, 1.231, 71.761, 0.000
N, 69, 0.000, 72.471, 0.000
N, 70, 1.231, 74.603, 0.000
N, 71, 0.000, 73.892, 0.000
N, 72, 1.231, 76.024, 0.000
N, 73, 0.000, 76.734, 0.000
N, 74, 1.231, 78.866, 0.000
N, 75, 0.000, 78.155, 0.000
N, 76, 1.231, 80.287, 0.000
N, 77, 0.000, 80.997, 0.000
N, 78, 1.231, 83.129, 0.000
N, 79, 0.000, 82.418, 0.000
N, 80, 1.231, 84.550, 0.000
N, 81, 0.000, 85.260, 0.000
N, 82, 1.231, 87.392, 0.000
N, 83, 0.000, 86.681, 0.000
N, 84, 1.231, 88.813, 0.000
N, 85, 0.000, 89.523, 0.000
N, 86, 1.231, 91.655, 0.000
N, 87, 0.000, 90.944, 0.000
N, 88, 1.231, 93.076, 0.000
N, 89, 0.000, 93.786, 0.000
N, 90, 1.231, 95.918, 0.000
N, 91, 0.000, 95.207, 0.000
N, 92, 1.231, 97.339, 0.000
N, 93, 0.000, 98.049, 0.000
N, 94, 1.231, 100.181, 0.000
N, 95, 0.000, 99.470, 0.000
N, 96, 1.231, 101.602, 0.000
N, 97, 0.000, 102.312, 0.000
N, 98, 1.231, 104.444, 0.000
N, 99, 0.000, 103.733, 0.000
N, 100, 1.231, 105.865, 0.000
N, 101, 0.000, 106.575, 0.000
N, 102, 1.231, 108.707, 0.000
N, 103, 0.000, 107.996, 0.000
N, 104, 1.231, 110.128, 0.000
N, 105, 0.000, 110.838, 0.000
N, 106, 1.231, 112.970, 0.000
N, 107, 0.000, 112.259, 0.000
N, 108, 1.231, 114.391, 0.000
N, 109, 0.000, 115.101, 0.000
N, 110, 1.231, 117.233, 0.000
N, 111, 0.000, 116.522, 0.000
N, 112, 1.231, 118.654, 0.000
N, 113, 0.000, 119.364, 0.000
N, 114, 1.231, 121.496, 0.000
N, 115, 0.000, 120.785, 0.000
N, 116, 1.231, 122.917, 0.000
N, 117, 0.000, 123.627, 0.000
N, 118, 1.231, 125.759, 0.000
N, 119, 0.000, 125.048, 0.000
N, 120, 1.231, 127.180, 0.000
N, 121, 0.000, 127.890, 0.000
N, 122, 1.231, 130.022, 0.000
N, 123, 0.000, 129.311, 0.000
N, 124, 1.231, 131.443, 0.000
N, 125, 0.000, 132.153, 0.000
N, 126, 1.231, 134.285, 0.000
N, 127, 0.000, 133.574, 0.000
N, 128, 1.231, 135.706, 0.000
N, 129, 0.000, 136.416, 0.000
N, 130, 1.231, 138.548, 0.000
N, 131, 0.000, 137.837, 0.000
N, 132, 1.231, 139.969, 0.000
N, 133, 0.000, 140.679, 0.000
N, 134, 1.231, 142.811, 0.000
N, 135, 0.000, 142.100, 0.000
N, 136, 1.231, 144.232, 0.000
N, 137, 0.000, 144.942, 0.000
N, 138, 1.231, 147.074, 0.000
N, 139, 0.000, 146.363, 0.000
N, 140, 1.231, 148.495, 0.000
N, 141, 0.000, 149.205, 0.000
N, 142, 1.231, 151.337, 0.000
N, 143, 0.000, 150.626, 0.000
N, 144, 1.231, 152.758, 0.000
N, 145, 0.000, 153.468, 0.000
N, 146, 1.231, 155.600, 0.000
N, 147, 0.000, 154.889, 0.000
N, 148, 1.231, 157.021, 0.000
N, 149, 0.000, 157.731, 0.000
N, 150, 1.231, 159.863, 0.000
N, 151, 0.000, 159.152, 0.000
N, 152, 1.231, 161.284, 0.000
N, 153, 0.000, 161.994, 0.000
N, 154, 1.231, 164.126, 0.000
N, 155, 0.000, 163.415, 0.000
N, 156, 1.231, 165.547, 0.000
N, 157, 0.000, 166.257, 0.000
N, 158, 1.231, 168.389, 0.000
N, 159, 0.000, 167.678, 0.000
N, 160, 1.231, 169.810, 0.000
N, 161, 0.000, 170.520, 0.000
N, 162, 1.231, 172.652, 0.000
N, 163, 0.000, 171.941, 0.000
N, 164, 1.231, 174.073, 0.000
N, 165, 0.000, 174.783, 0.000
N, 166, 1.231, 176.915, 0.000
N, 167, 0.000, 176.204, 0.000
N, 168, 1.231, 178.336, 0.000
N, 169, 0.000, 179.046, 0.000
N, 170, 1.231, 181.178, 0.000
N, 171, 0.000, 180.467, 0.000
N, 172, 1.231, 182.599, 0.000
N, 173, 0.000, 183.309, 0.000
N, 174, 1.231, 185.441, 0.000
N, 175, 0.000, 184.730, 0.000
N, 176, 1.231, 186.862, 0.000
N, 177, 0.000, 187.572, 0.000
N, 178, 1.231, 189.704, 0.000
N, 179, 0.000, 188.993, 0.000
N, 180, 1.231, 191.125, 0.000
N, 181, 0.000, 191.835, 0.000
N, 182, 1.231, 193.967, 0.000
N, 183, 0.000, 193.256, 0.000
N, 184, 1.231, 195.388, 0.000
N, 185, 0.000, 196.098, 0.000
